,fakeid,fakeid0,female0,famid0,age0,eduyrs0,famsize0,kfamincly0,tlabincly0,klabincly0,knlabincly0,wage_inc0,hrs_house0,hrs_workly0,race0,college0,employdB0,fulltimely0,lowincly0,fakeid1,female1,famid1,age1,eduyrs1,famsize1,kfamincly1,tlabincly1,klabincly1,knlabincly1,wage_inc1,hrs_house1,hrs_workly1,race1,college1,employdB1,fulltimely1,lowincly1
0,9,9,Male,50,41,16,4,168.06586,148.10713,137.89285,383.82162,72.575188,5,36.53846,White,Yes,1,Full-time (1750+ hours),0,9,Female,50,36,14.0,4,168.06586,148.10713,10.214285,383.82162,19.642857,15,10.0,White,No,1,Part-time (50-1749 hours),0
1,10,10,Male,51,48,16,2,155.25714,155.25714,98.057137,0.0,33.696613,3,55.96154,White,Yes,1,Full-time (1750+ hours),0,10,Female,51,41,15.0,2,155.25714,155.25714,57.199997,0.0,22.170542,7,49.615383,White,No,1,Full-time (1750+ hours),0
2,13,13,Male,73,35,11,4,59.44714,59.447144,50.049999,-7.3359566e-05,24.925299,2,38.615383,White,No,1,Full-time (1750+ hours),0,13,Female,73,33,15.0,4,59.44714,59.447144,9.3971424,-7.3359566e-05,6.4188132,6,28.153847,White,No,1,Part-time (50-1749 hours),0
3,15,15,Male,81,45,12,3,75.790001,74.564285,43.921429,23.571455,13.790087,10,61.25,Black,No,1,Full-time (1750+ hours),0,15,Female,81,42,12.0,3,75.790001,74.564285,30.642857,23.571455,15.63411,15,37.692307,Black,No,1,Full-time (1750+ hours),0
4,18,18,Male,97,43,12,3,90.089996,88.762138,54.135712,25.53573,25.06283,2,41.53846,White,No,1,Full-time (1750+ hours),0,18,Female,97,42,12.0,3,90.089996,88.762138,34.626427,25.53573,18.110056,5,36.76923,White,No,1,Full-time (1750+ hours),0
5,24,24,Male,116,37,12,6,64.656425,64.656425,64.349998,0.0,33.515625,2,36.923077,White,Unknown,1,Full-time (1750+ hours),0,24,Female,116,34,12.0,6,64.656425,64.656425,0.30642855,0.0,4.3775511,20,1.3461539,White,No,0,Part-time (50-1749 hours),0
6,27,27,Male,127,45,12,3,57.506428,56.484997,0.30642855,19.642902,2.5535712,10,2.3076923,White,No,1,Part-time (50-1749 hours),0,27,Female,127,44,15.0,3,57.506428,56.484997,56.17857,19.642902,30.416119,3,35.51923,White,Yes,1,Full-time (1750+ hours),0
7,32,32,Male,146,41,12,5,27.186342,27.104628,26.557142,1.5714352,9.5701408,1,53.365383,White,No,1,Full-time (1750+ hours),0,32,Female,146,40,12.0,5,27.186342,27.104628,0.54748571,1.5714352,3.1284897,12,3.3653846,White,No,1,Part-time (50-1749 hours),0
8,36,36,Male,161,48,17,5,133.87047,98.057144,90.907143,688.71777,40.403172,4,43.26923,White,Yes,1,Full-time (1750+ hours),0,36,Female,161,45,12.0,5,133.87047,98.057144,7.1499996,688.71777,13.439849,25,10.230769,White,No,1,Part-time (50-1749 hours),0
9,37,37,Male,163,35,12,5,80.692856,80.692856,35.75,0.0,17.524509,3,39.23077,Black,No,1,Full-time (1750+ hours),0,37,Female,163,33,14.0,5,80.692856,80.692856,44.942856,0.0,23.829721,6,36.26923,Black,No,1,Full-time (1750+ hours),0
10,39,39,Male,171,49,13,4,117.46428,116.44286,65.371429,19.642757,32.362091,4,38.846153,White,No,1,Full-time (1750+ hours),0,39,Female,171,47,16.0,4,117.46428,116.44286,51.071426,19.642757,37.830685,21,25.961538,White,Yes,1,Part-time (50-1749 hours),0
11,42,42,Male,175,41,14,3,57.199997,57.199997,30.642857,0.0,15.507518,3,38.0,Black,Yes,1,Full-time (1750+ hours),0,42,Female,175,42,14.0,3,57.199997,57.199997,26.557142,0.0,16.075752,15,31.76923,Black,Yes,1,Part-time (50-1749 hours),0
12,46,46,Male,182,43,15,4,122.01577,111.84642,88.864281,195.56442,35.832371,6,47.692307,White,No,1,Full-time (1750+ hours),0,46,Female,182,43,12.0,4,122.01577,111.84642,22.982141,195.56442,11.822089,15,37.384617,White,No,1,Full-time (1750+ hours),0
13,48,48,Male,186,42,12,3,30.879827,20.792198,13.825035,193.99287,9.3412399,4,28.461538,White,No,1,Part-time (50-1749 hours),0,48,Female,186,46,12.0,3,30.879827,20.792198,6.967164,193.99287,4.3763595,15,30.615385,White,No,1,Part-time (50-1749 hours),0
14,56,56,Male,223,43,12,5,107.04571,107.04572,63.124283,-0.00014671913,33.576748,6,36.153847,Black,No,1,Full-time (1750+ hours),0,56,Female,223,38,16.0,5,107.04571,107.04572,43.921429,-0.00014671913,23.462301,15,36.0,Black,Yes,1,Full-time (1750+ hours),0
15,64,64,Male,253,42,12,4,47.394283,40.85714,28.599998,125.7143,16.531792,7,33.26923,White,No,1,Part-time (50-1749 hours),0,64,Female,253,41,12.0,4,47.394283,40.85714,12.257142,125.7143,13.619047,21,17.307692,White,No,1,Part-time (50-1749 hours),0
16,70,70,Male,268,40,12,2,107.24999,92.949997,23.492857,274.99991,13.250342,6,34.096153,White,No,1,Full-time (1750+ hours),0,70,Female,268,45,12.0,2,107.24999,92.949997,69.457138,274.99991,30.952379,6,43.153847,White,No,1,Full-time (1750+ hours),0
17,74,74,Male,278,35,16,4,92.960213,92.949997,56.17857,0.19645691,27.074009,2,39.903847,White,Yes,1,Full-time (1750+ hours),0,74,Female,278,35,17.0,4,92.960213,92.949997,36.771427,0.19645691,30.017492,5,23.557692,White,Yes,1,Part-time (50-1749 hours),0
18,93,93,Male,335,41,12,4,81.714279,81.714279,40.85714,0.0,15.714285,20,50.0,White,No,1,Full-time (1750+ hours),0,93,Female,335,38,12.0,4,81.714279,81.714279,40.85714,0.0,17.641253,20,44.53846,White,No,1,Full-time (1750+ hours),0
19,98,98,Male,342,36,12,4,49.416714,16.730999,16.730999,628.57141,7.7065864,3,41.75,White,No,1,Full-time (1750+ hours),0,98,Female,342,37,13.0,4,49.416714,16.730999,0.0,628.57141,0.0,3,53.73077,Other,No,1,Full-time (1750+ hours),0
20,99,99,Male,344,44,14,3,107.86285,102.14285,51.071426,110.00002,20.42857,15,48.076923,White,No,1,Full-time (1750+ hours),0,99,Female,344,40,16.0,3,107.86285,102.14285,51.071426,110.00002,27.75621,10,35.384617,White,Yes,1,Full-time (1750+ hours),0
21,100,100,Male,346,43,14,2,133.9297,130.66113,67.924995,62.857113,32.845745,3,39.76923,White,No,1,Full-time (1750+ hours),0,100,Female,346,41,14.0,2,133.9297,130.66113,62.736141,62.857113,42.389286,4,28.461538,White,No,1,Part-time (50-1749 hours),0
22,102,102,Male,352,35,15,3,112.96999,112.45928,58.32357,9.8213787,29.515976,8,38.0,White,No,1,Full-time (1750+ hours),0,102,Female,352,32,16.0,3,112.96999,112.45928,54.135712,9.8213787,27.396616,8,38.0,White,Unknown,1,Full-time (1750+ hours),0
23,106,106,Male,360,38,17,2,106.84245,106.22959,0.0010214285,11.785654,0.00040857142,6,48.076923,White,Yes,1,Full-time (1750+ hours),0,106,Female,360,33,17.0,2,106.84245,106.22959,106.22857,11.785654,31.747929,6,64.346153,White,Yes,1,Full-time (1750+ hours),0
24,118,118,Male,407,40,9,5,26.965714,26.965714,25.535713,0.0,8.6856165,4,56.53846,White,No,1,Full-time (1750+ hours),0,118,Female,407,34,11.0,5,26.965714,26.965714,1.4299999,0.0,5.1999998,28,5.2884617,White,No,0,Part-time (50-1749 hours),0
25,128,128,Male,431,36,16,4,86.00428,85.800003,50.049999,3.9284046,19.627451,4,49.03846,White,Yes,1,Full-time (1750+ hours),0,128,Female,431,36,16.0,4,86.00428,85.800003,35.75,3.9284046,38.194443,10,18.0,White,Yes,1,Part-time (50-1749 hours),0
26,131,131,Male,434,43,17,3,56.076427,42.899998,0.0,253.39288,0.0,6,19.615385,White,Yes,1,Part-time (50-1749 hours),0,131,Female,434,34,16.0,3,56.076427,42.899998,42.899998,253.39288,36.172005,8,22.807692,White,No,1,Part-time (50-1749 hours),0
27,136,136,Male,451,47,16,3,42.899998,42.899998,20.42857,0.0,12.159863,5,32.307693,White,Yes,1,Part-time (50-1749 hours),0,136,Female,451,48,12.0,3,42.899998,42.899998,22.471428,0.0,6.2716794,15,68.903847,White,No,1,Full-time (1750+ hours),0
28,137,137,Male,454,47,17,2,73.542854,73.542854,30.642857,0.0,11.785714,14,50.0,White,Unknown,1,Full-time (1750+ hours),0,137,Female,454,46,17.0,2,73.542854,73.542854,42.899998,0.0,21.710526,14,38.0,White,Unknown,1,Full-time (1750+ hours),0
29,139,139,Male,459,47,16,3,97.035713,97.035706,76.60714,0.00014671913,43.775509,10,33.653847,White,Yes,1,Full-time (1750+ hours),0,139,Female,459,39,12.0,3,97.035713,97.035706,20.42857,0.00014671913,20.760742,5,18.923077,White,Unknown,1,Part-time (50-1749 hours),0
30,144,144,Male,470,41,12,6,74.360001,71.704285,66.392853,51.071461,32.229542,20,39.615383,White,No,1,Full-time (1750+ hours),0,144,Female,470,35,12.0,6,74.360001,71.704285,5.3114285,51.071461,5.1071424,25,20.0,White,Unknown,1,Part-time (50-1749 hours),0
31,147,147,Male,473,49,14,4,67.199783,61.285713,38.814285,113.73212,18.80537,5,39.692307,White,No,1,Full-time (1750+ hours),0,147,Female,473,47,16.0,4,67.199783,61.285713,22.471428,113.73212,13.619047,20,31.73077,White,Yes,1,Part-time (50-1749 hours),0
32,151,151,Male,480,42,15,2,146.26857,143.0,143.0,62.857113,57.661289,10,47.692307,White,No,1,Full-time (1750+ hours),0,151,Female,480,42,16.0,2,146.26857,143.0,0.0,62.857113,0.0,10,42.403847,White,Yes,1,Full-time (1750+ hours),0
33,152,152,Male,481,47,14,2,25.842142,25.84214,23.799284,3.6679783e-05,14.763824,10,31.0,Black,No,1,Part-time (50-1749 hours),0,152,Female,481,46,12.0,2,25.842142,25.84214,2.0428572,3.6679783e-05,11.740558,40,3.3461537,Black,Unknown,0,Part-time (50-1749 hours),0
34,155,155,Male,486,45,12,4,59.293926,55.157139,34.728569,79.553604,16.152822,30,41.346153,White,No,1,Full-time (1750+ hours),0,155,Female,486,43,12.0,4,59.293926,55.157139,20.42857,79.553604,17.023809,50,23.076923,White,No,1,Part-time (50-1749 hours),0
35,157,157,Male,488,41,16,5,90.70285,53.114285,0.0,722.85706,0.0,3,50.0,White,Yes,1,Full-time (1750+ hours),0,157,Female,488,42,16.0,5,90.70285,53.114285,53.114285,722.85706,25.634306,7,39.846153,White,Yes,1,Full-time (1750+ hours),0
36,164,164,Male,504,45,12,4,83.43335,83.126923,34.728569,5.892827,17.592995,5,37.96154,White,No,1,Full-time (1750+ hours),0,164,Female,504,38,12.0,4,83.43335,83.126923,48.39835,5.892827,22.500395,15,41.365383,White,Unknown,1,Full-time (1750+ hours),0
37,166,166,Male,511,43,16,4,99.958015,97.035713,71.5,56.19812,32.03405,10,42.923077,White,Yes,1,Full-time (1750+ hours),0,166,Female,511,38,14.0,4,99.958015,97.035713,25.535713,56.19812,15.939896,20,30.807692,White,No,0,Part-time (50-1749 hours),0
38,168,168,Male,522,35,14,7,82.53653,82.53653,55.369598,0.0,24.327591,10,43.76923,White,No,1,Full-time (1750+ hours),0,168,Female,522,35,14.0,7,82.53653,82.53653,27.166935,0.0,52.244106,50,10.0,White,No,1,Part-time (50-1749 hours),0
39,181,181,Male,572,48,12,3,70.172142,55.157139,42.899998,288.75006,40.85714,38,20.192308,White,No,0,Part-time (50-1749 hours),0,181,Female,572,46,10.0,3,70.172142,55.157139,12.257142,288.75006,6.5969548,4,35.73077,White,No,1,Full-time (1750+ hours),0
40,183,183,Male,575,34,17,3,151.20207,151.17142,100.1,0.58951747,44.174755,5,43.576923,Other,Yes,1,Full-time (1750+ hours),0,183,Female,575,34,16.0,3,151.20207,151.17142,51.071426,0.58951747,39.993286,20,24.557692,White,Yes,1,Part-time (50-1749 hours),0
41,187,187,Male,583,44,16,2,141.64149,140.95714,70.478569,13.160706,35.168945,4,38.53846,White,Yes,1,Full-time (1750+ hours),0,187,Female,583,40,17.0,2,141.64149,140.95714,70.478569,13.160706,31.833139,15,42.576923,White,Yes,1,Full-time (1750+ hours),0
42,189,189,Male,594,49,11,2,62.89957,62.899567,38.385284,7.3359566e-05,11.649555,5,63.365383,White,No,1,Full-time (1750+ hours),0,189,Female,594,46,12.0,2,62.89957,62.899567,24.514284,7.3359566e-05,10.895238,20,43.26923,White,No,1,Full-time (1750+ hours),0
43,191,191,Male,598,48,12,2,123.08214,122.57143,61.285713,9.8213787,24.128233,5,48.846153,White,No,1,Full-time (1750+ hours),0,191,Female,598,45,10.0,2,123.08214,122.57143,61.285713,9.8213787,36.479591,20,32.307693,White,No,1,Part-time (50-1749 hours),0
